34.51%,57,,Clarity AI,"Clarity AI, a tech platform that delivers insights on the social and environmental impact of over 30,000 organizations.",https://clarity.ai,1,US,Monde,"secteur d'activité des fintech, plateforme consacrée aux analyses et à la science des données en matière de développement durable",,NC,51-200 employés,Privé,Tech,,,,A définir,Elevée,Abonnement,0,1,,,TBD,N,,,,N,,N,https://clarity.ai,Demande de démo à faire via le formulaire de contact https://www2.clarity.ai/contact-form,Pablo Almendral,Business Development & Partnerships,https://contact.clarity.ai/info-request,+34 626325385,pablo.almendral@clarity.ai,"12/04/2021 : contact via formulaire
10/05/2021 : présentation effectuée",,Romain Berrou,Antoine Ngo,En cours,N,,,,N,N,N,,,,,,,,,,,Data,,,,,,,,,,,,,,,Pas vraiment un fournisseur de données. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
29.20%,58,,CLIMATE BONDS INITIATIVE CBI,"Climate Bonds Initiative is an international organisation working solely to mobilise the largest capital market of all, the $100 trillion bond market, for climate change solutions",https://www.climatebonds.net/,1,UK,Monde,secteur d'activité des organisations caritatives,,,moins d'une centaine,Public,Trust,,,,Elevée,Elevée,Abonnement,0,1,,,Physique,N,,,,N,,N,,,Krista Tukiainen,Deputy Head of Research and Reporting (Market Intelligence) ,"Climate Bonds Initiative 
40 Bermondsey Street
London SE1 3UD
United Kingdom
Office number: +44 (0) 7435 280 312

Europe
Claire Berson
Director of Client Services
Climate Bonds Initiative
London
Claire.berson@climatebonds.net",,,Mail envoyé le 07/04 avec data request form en pièce jointe (Laura),,Romain Berrou,Laura W,A relancer,N,,,,N,N,N,,,,,,,,,,,Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
20.35%,59,,ClimateWatch,"Climate Watch is an online platform designed to empower policymakers, researchers, media and other stakeholders with the open climate data, visualizations and resources they need to gather insights on national and global progress on climate change.",https://www.climatewatchdata.org/,1,Finlande,Monde,"secteur d'activité de recherche, d'analyse de données",,Non lucratif,,Public,Plateforme publique,,Climate Watch,"Climate Watch is an open online platform designed to empower users with the climate data, visualizations and resources.",Basse,,,,,,,,N,,,,N,,N,https://www.climatewatchdata.org/,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
24.78%,60,,Coface,,https://www.coface.com/fr,1,France,,,,,,Privé,Market,,Note coface des entreprises TPE PME,,Moyenne,Elevée,Abonnement,0,1,,,Autre,N,,,,N,,N,https://www.coface.com/fr,,https://www.coface.com/fr/Notre-Offre/Services-complementaires/L-information-d-entreprise,,,,,,,Zoe Marquoin,Julien Cazabat,Non commencé,N,,,,N,N,N,,,,,,,,,,,Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
44.25%,61,,Copernicus,"Copernicus est le programme d’observation de la Terre de l’Union européenne. Il s’intéresse à notre planète et à son environnement pour le bénéfice de tous les citoyens européens. Il offre des services d’information basés sur l’observation de la Terre par satellite et les données in situ (non spatiales).
Le programme est coordonné et géré par la Commission européenne. Il est mis en œuvre en partenariat avec les États membres, l'Agence spatiale européenne (ESA), l'Organisation européenne pour l'exploitation des satellites météorologiques (EUMETSAT), le Centre européen de prévisions météorologiques à moyen terme (ECMWF), les agences de l'UE et Mercator Océan.
De vastes quantités de données mondiales provenant de satellites et de systèmes de mesure terrestres, aériens et maritimes sont utilisées pour fournir des informations afin d'aider les prestataires de services, les autorités publiques et les autres organisations internationales à améliorer la qualité de vie des citoyens européens. Les services d'information fournis sont accessibles gratuitement et librement à ses utilisateurs.",https://cds.climate.copernicus.eu,3,UE,UE,secteur d'activité de  recherche et de collecte de données,2013,370 M€,201-500 ,Public,Organisme,,CMIP6 climate projections,Base de données climatique au niveau européen,Elevée,Basse,Open Data,1,0,,,Physique,N,O,O,N,N,,O,https://cds.climate.copernicus.eu/cdsapp#!/dataset/projections-cmip6?tab=overview,https://www.copernicus.eu/en/access-data,Sans objet,,Sans objet,Sans objet,copernicus-support@ecmwf.int,Sans objet,Sans objet,Guillaume Flament,Soukaina TAZROUTI,Fini,N,Open Data,Open Data,"Guillaume FLAMENT, Asmynour Youssouf",N,N,N,,,,,,,,,,,Data,,,,,,,,,,2003,Today,,,,Info about C3S (Climate change) & CAMS (Atmosphere Monitoring) available here : https://confluence.ecmwf.int/display/CKB/General+articles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VIDE,,
44.25%,62,,Copernicus,"Copernicus est le programme d’observation de la Terre de l’Union européenne. Il s’intéresse à notre planète et à son environnement pour le bénéfice de tous les citoyens européens. Il offre des services d’information basés sur l’observation de la Terre par satellite et les données in situ (non spatiales).
Le programme est coordonné et géré par la Commission européenne. Il est mis en œuvre en partenariat avec les États membres, l'Agence spatiale européenne (ESA), l'Organisation européenne pour l'exploitation des satellites météorologiques (EUMETSAT), le Centre européen de prévisions météorologiques à moyen terme (ECMWF), les agences de l'UE et Mercator Océan.
De vastes quantités de données mondiales provenant de satellites et de systèmes de mesure terrestres, aériens et maritimes sont utilisées pour fournir des informations afin d'aider les prestataires de services, les autorités publiques et les autres organisations internationales à améliorer la qualité de vie des citoyens européens. Les services d'information fournis sont accessibles gratuitement et librement à ses utilisateurs.",https://cds.climate.copernicus.eu,3,UE,UE,secteur d'activité de  recherche et de collecte de données,2013,370 M€,201-500 ,Public,Organisme,,Water level change time series for the European coast from 1977 to 2100 derived from climate projections,Base de données climatique au niveau européen,Elevée,Basse,Open Data,1,0,,,Physique,N,O,O,N,N,,O,https://cds.climate.copernicus.eu/cdsapp#!/dataset/sis-water-level-change-timeseries?tab=overview,https://www.copernicus.eu/en/access-data,Sans objet,,Sans objet,Sans objet,copernicus-support@ecmwf.int,Sans objet,Sans objet,Guillaume Flament,Soukaina TAZROUTI,Fini,N,Open Data,Open Data,"Guillaume FLAMENT, Asmynour Youssouf",N,N,N,,,,,,,,,,,Data,,,,,,,,,,2003,Today,,,,Info about C3S (Climate change) & CAMS (Atmosphere Monitoring) available here : https://confluence.ecmwf.int/display/CKB/General+articles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VIDE,,
44.25%,63,,Copernicus,"Copernicus est le programme d’observation de la Terre de l’Union européenne. Il s’intéresse à notre planète et à son environnement pour le bénéfice de tous les citoyens européens. Il offre des services d’information basés sur l’observation de la Terre par satellite et les données in situ (non spatiales).
Le programme est coordonné et géré par la Commission européenne. Il est mis en œuvre en partenariat avec les États membres, l'Agence spatiale européenne (ESA), l'Organisation européenne pour l'exploitation des satellites météorologiques (EUMETSAT), le Centre européen de prévisions météorologiques à moyen terme (ECMWF), les agences de l'UE et Mercator Océan.
De vastes quantités de données mondiales provenant de satellites et de systèmes de mesure terrestres, aériens et maritimes sont utilisées pour fournir des informations afin d'aider les prestataires de services, les autorités publiques et les autres organisations internationales à améliorer la qualité de vie des citoyens européens. Les services d'information fournis sont accessibles gratuitement et librement à ses utilisateurs.",https://cds.climate.copernicus.eu,3,UE,UE,secteur d'activité de  recherche et de collecte de données,2013,370 M€,201-500 ,Public,Organisme,,Fire danger indicators for Europe from 1970 to 2098 derived from climate projections,Base de données climatique au niveau européen,Elevée,Basse,Open Data,1,0,,,Physique,N,O,O,N,N,,O,https://cds.climate.copernicus.eu/cdsapp#!/dataset/sis-tourism-fire-danger-indicators?tab=overview,https://www.copernicus.eu/en/access-data,Sans objet,,Sans objet,Sans objet,copernicus-support@ecmwf.int,Sans objet,Sans objet,Guillaume Flament,Soukaina TAZROUTI,Fini,N,Open Data,Open Data,"Guillaume FLAMENT, Asmynour Youssouf",N,N,N,,,,,,,,,,,Data,,,,,,,,,,2003,Today,,,,Info about C3S (Climate change) & CAMS (Atmosphere Monitoring) available here : https://confluence.ecmwf.int/display/CKB/General+articles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VIDE,,
31.86%,64,,Covalence (Suisse),"Fondée en 2001 à Genève, Covalence SA aide les investisseurs à intégrer les enjeux Environnementaux, Sociaux, et de Gouvernance (ESG) en maîtrisant le greenwashing avec son système de notation et ses données multi-sources basés sur l’IA couvrant plus de 9000 sociétés cotées.",https://www.covalence.ch/?lang=fr,1,Suisse,Monde,"secteur d'activité  des solutions d’investissement, notations et données ESG et conseils en construction de portefeuille",2001,NC,5 salariés,Privé,Produit,,,,A définir,Elevée,Abonnement,0,1,,,TBD,N,,,,N,,N,https://www.covalence.ch/?lang=fr,,,,"1 Avenue Industrielle, 1227 Carouge Geneva, Switerland
",+41 (22) 800 08 55,contact@covalence.ch,Mail adresse générique envoyé le 26/04/2021,,Tom Popa,Julien Cazabat,En cours,N,,,,N,N,N,,,,,,,,,,,Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
63.72%,65,,CRED (Center research on the epidemiology of disasters),"The Centre for Research on the Epidemiology of Disasters (CRED) has been active for over 40 years in the fields of international disaster and conflict health studies, with activities linking relief, rehabilitation and development. The Centre promotes research, training and technical expertise on humanitarian emergencies, particularly in public health and epidemiology.

CRED's research scope includes two main axes: natural disasters and crisis situations caused by civil strife, conflict or others. CRED studies broader aspects of humanitarian crises and emergencies, such as socio-economic, gender and environmental issues, with a strong focus on the special needs of vulnerable groups such as women and children.

By providing a wealth of data on health issues arising from disasters and conflict, CRED seeks to improve needs-based preparedness and responses to humanitarian emergencies.",https://www.cred.be/,2,Belgique,Monde,secteur d'activité des organisations à but non lucratif,1973,Non lucratif,10 salariés,Public,Organisation,,EMDAT,"Version open source de BD Catnat
For a disaster to be entered into the database at least one of the following criteria must be fulfilled:
- Ten (10) or more people reported killed.
- Hundred (100) or more people reported affected.
- Declaration of a state of emergency.
- Call for international assistance.",Elevée,,Open Data,1,0,Monde,,Physique,N,O,N,N,N,,N,https://www.emdat.be/,,,,,,,,,Asmynour Youssouf,Asmynour Youssouf,En cours,N,,Open Data,Asmynour Youssouf,O,O,N,Excel,N,,,,,,,,,Data,,,,,régulière,,Monde,Région,,1900,2021,,,,,O,O,O,O,O,O,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,,N,N,N,,,,VIDE,,
18.58%,66,,CRED (Center research on the epidemiology of disasters),"The Centre for Research on the Epidemiology of Disasters (CRED) has been active for over 40 years in the fields of international disaster and conflict health studies, with activities linking relief, rehabilitation and development. The Centre promotes research, training and technical expertise on humanitarian emergencies, particularly in public health and epidemiology.

CRED's research scope includes two main axes: natural disasters and crisis situations caused by civil strife, conflict or others. CRED studies broader aspects of humanitarian crises and emergencies, such as socio-economic, gender and environmental issues, with a strong focus on the special needs of vulnerable groups such as women and children.

By providing a wealth of data on health issues arising from disasters and conflict, CRED seeks to improve needs-based preparedness and responses to humanitarian emergencies.",https://www.evaplan.org/eu-scorch/,2,Belgique,Monde,secteur d'activité des organisations à but non lucratif,1973,Non lucratif,10 salariés,Public,Organisation,,SCORCH,,Basse,,,,,,,,N,,,,,,,https://www.evaplan.org/eu-scorch/,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
56.64%,67,,CSR Hub,"We provide consensus ratings of company ESG performance as a lever to improve corporate sustainability. We hope that our transparent data platform is part of a broad change that relates company value to its environmental, social and governance performance.
Our measure of the consensus view of the societal impact of entities is based on aggregating over 700 sources of ESG data and publishing ratings when we can accurately estimate them. To date, we have rated more than 18,000 entities and have published data on another 28,000. We have some data on another 100,000 entities and hope to eventually rate most of these, too. The entities we currently rate include more than 99% of listed (publicly traded) companies worldwide.

Data Source : EIRIS, Glassdor , Global Reporting Initiative 2018 & 2019, Good Jobs first subsidy tracker, goods unite US, ideal ratings, INstitutional Shareholder Services, ISS ESG (IW Financial Data Set), MSCI ESG CarbonMetric, MSCI ESG Controversies, MSCI ESG GovernanceMetrics, MSCI ESG INtangible Value Assessment",https://www.csrhub.com/,1,US,Monde,secteur d'activité d'analyse de données et de notation,2007,"
$7.4M",55 employés ,Privé,Tech,,,Base de données mesure de la vision consensuelle de l'impact sociétal des entités est basée sur l'agrégation de plus de 700 sources de données ESG et sur la publication de notes lorsque nous pouvons les estimer avec précision. ,Elevée,Elevée,Abonnement,0,1,Monde,"26,724 : publicly-traded, private companies, government organizations, and not-for-profits. https://www.csrhub.com/our_data_sources?page=2",ESG,N,N,O,N,N,,N,https://www.csrhub.com/,Energy & climate change   - Environment policy & reporting - Resource management ,bahar@csrhub.com,,,,,27/05/2021,,Romain Berrou,Soukaina TAZROUTI,Fini,N,Achat de données,,,N,N,N,,,,,,,,,,,Data,,,,,,,Monde,Compagnie,,,,,,,"CSR hub ne dispose pas de data brute, il calcule un score à partir de l'open data et des avis des employeurs. Les seules variables qui concernent le risque climatique sont: -energy&climate change  -  envirennement policy & reporting -ressource management. les autres indicateurs concernent les indicateeurs ESG",N,N,N,N,N,N,N,N,N,N,N,,,,N,,,,,N,N,N,N,,O,,,O,,O,,,,#REF!,,
33.63%,67,,"DEFRA (Department for Environment, Food & Rural Affairs)","Le département de l'Environnement, de l'Alimentation et des Affaires rurales (Department for Environment, Food and Rural Affairs ou DEFRA) est un département exécutif du gouvernement britannique chargé de l'environnement et de l'agriculture.",https://www.gov.uk/government/organisations/department-for-environment-food-rural-affairs,1,UK,UK,secteur d'activité des administrations publiques,2001,NC,9000,Public,Administration,Gouvernement du Royaume-Uni,,,Basse,Elevée,Abonnement,0,1,,,Physique,N,,,,N,,N,https://www.gov.uk/government/organisations/department-for-environment-food-rural-affairs,"Empreinte carbone des matières premières 

https://www.gov.uk/government/organisations/department-for-environment-food-rural-affairs/about/statistics ",,,"Customer Contact Unit
Seacole Building
2 Marsham Street
London
SW1P 4DF
United Kingdom
Email

defra.helpline@defra.gov.uk",,,contacté sur Linkdin et le mail officiel le 10/03,,David Rodrigues,Soukaina TAZROUTI,Fini,Non,"Projet géré par Deloitte, refus de communiquer",,,N,N,N,,,,,,,,,,,Data,,,,,,,,,,,,,,,"Rutang Thanawalla  directeur Deloitte qui dirige les projet sur le risque climatique, contacté sur linkdin (pas de retour)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
